2026-04-13 17:08:01 | WARNING | rok.test             |   SKIP - Capture returned None (window may not be active)
2026-04-13 17:08:01 | INFO    | rok.test             | Test 3: Model loading...
2026-04-13 17:08:01 | ERROR   | rok.YOLODetector     | Model file not found: models/current/rok_detector.pt
2026-04-13 17:08:01 | ERROR   | rok.test             |   FAIL - Model load failed: models/current/rok_detector.pt
2026-04-13 17:08:01 | INFO    | rok.test             | Test 4: Safety config check...
2026-04-13 17:08:01 | INFO    | rok.test             |   PASS - Safety: delay=[0.05,0.3]s, offset=+/-5px, max_actions=30/min
2026-04-13 17:08:01 | INFO    | rok.test             | ==================================================
2026-04-13 17:08:01 | INFO    | rok.test             | Test completed
2026-04-13 17:08:01 | INFO    | rok.test             | ==================================================
2026-04-13 17:24:55 | INFO    | rok.main             | ============================================================
2026-04-13 17:24:55 | INFO    | rok.main             | 万国觉醒辅助工具 - ROK Assistant v1.0.0
2026-04-13 17:24:55 | INFO    | rok.main             | ============================================================
2026-04-13 17:24:55 | INFO    | rok.main             | Initializing application...
2026-04-13 17:24:55 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-13 17:24:55 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-13 17:24:55 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-13 17:24:55 | INFO    | rok.test             | ==================================================
2026-04-13 17:24:55 | INFO    | rok.test             | Running basic functionality test
2026-04-13 17:24:55 | INFO    | rok.test             | ==================================================
2026-04-13 17:24:55 | INFO    | rok.test             | Test 1: Window search...
2026-04-13 17:24:55 | ERROR   | rok.WindowCapture    | Window not found: 万国觉醒
2026-04-13 17:24:55 | WARNING | rok.test             |   SKIP - Window '万国觉醒' not found
2026-04-13 17:24:55 | INFO    | rok.test             | Test 2: Screen capture...
2026-04-13 17:24:55 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:24:55 | WARNING | rok.test             |   SKIP - Capture returned None (window may not be active)
2026-04-13 17:24:55 | INFO    | rok.test             | Test 3: Model loading...
2026-04-13 17:24:55 | ERROR   | rok.YOLODetector     | Model file not found: models/current/rok_detector.pt
2026-04-13 17:24:55 | ERROR   | rok.test             |   FAIL - Model load failed: models/current/rok_detector.pt
2026-04-13 17:24:55 | INFO    | rok.test             | Test 4: Safety config check...
2026-04-13 17:24:55 | INFO    | rok.test             |   PASS - Safety: delay=[0.05,0.3]s, offset=+/-5px, max_actions=30/min
